( 1 ,  -1 ,  0  )
( 0 ,  -1 ,  1  )
( 1 ,  -2 ,  1  )
( 0 ,  -2 ,  2  )
( 1 ,  -2 ,  1  )
( 0 ,  -2 ,  2  )
( -1 ,  -2 ,  3  )
( -2 ,  -2 ,  4  )
( -3 ,  -2 ,  5  )
( -4 ,  -1 ,  5  )
( -5 ,  0 ,  5  )
( -4 ,  0 ,  4  )
( -5 ,  1 ,  4  )
( -5 ,  2 ,  3  )
( -6 ,  3 ,  3  )
( -6 ,  4 ,  2  )
( -6 ,  5 ,  1  )
( -7 ,  6 ,  1  )
( -6 ,  6 ,  0  )
( -6 ,  7 ,  -1  )
( -7 ,  7 ,  0  )
( -7 ,  8 ,  -1  )
( -6 ,  7 ,  -1  )
( -7 ,  7 ,  0  )
( -7 ,  8 ,  -1  )
( -7 ,  9 ,  -2  )
( -7 ,  8 ,  -1  )
( -6 ,  8 ,  -2  )
( -5 ,  8 ,  -3  )
( -4 ,  8 ,  -4  )
( -3 ,  8 ,  -5  )
( -2 ,  8 ,  -6  )
( -1 ,  8 ,  -7  )
( 0 ,  8 ,  -8  )
( -1 ,  8 ,  -7  )
( 0 ,  8 ,  -8  )
( 1 ,  8 ,  -9  )
( 1 ,  7 ,  -8  )
( 0 ,  8 ,  -8  )
( 1 ,  8 ,  -9  )
( 2 ,  8 ,  -10  )
( 3 ,  8 ,  -11  )
( 4 ,  8 ,  -12  )
( 5 ,  7 ,  -12  )
( 4 ,  8 ,  -12  )
( 4 ,  9 ,  -13  )
( 5 ,  9 ,  -14  )
( 4 ,  9 ,  -13  )
( 3 ,  9 ,  -12  )
( 2 ,  9 ,  -11  )
( 3 ,  8 ,  -11  )
( 4 ,  7 ,  -11  )
( 4 ,  6 ,  -10  )
( 5 ,  6 ,  -11  )
( 6 ,  6 ,  -12  )
( 7 ,  5 ,  -12  )
( 8 ,  4 ,  -12  )
( 9 ,  3 ,  -12  )
( 10 ,  3 ,  -13  )
( 11 ,  2 ,  -13  )
( 12 ,  1 ,  -13  )
( 11 ,  2 ,  -13  )
( 11 ,  1 ,  -12  )
( 12 ,  0 ,  -12  )
( 13 ,  -1 ,  -12  )
( 14 ,  -2 ,  -12  )
( 15 ,  -3 ,  -12  )
( 16 ,  -4 ,  -12  )
( 15 ,  -4 ,  -11  )
( 16 ,  -5 ,  -11  )
( 17 ,  -5 ,  -12  )
( 17 ,  -6 ,  -11  )
( 18 ,  -7 ,  -11  )
( 18 ,  -8 ,  -10  )
( 19 ,  -9 ,  -10  )
( 20 ,  -10 ,  -10  )
( 21 ,  -11 ,  -10  )
( 21 ,  -10 ,  -11  )
( 21 ,  -11 ,  -10  )
( 21 ,  -12 ,  -9  )
( 21 ,  -13 ,  -8  )
( 22 ,  -14 ,  -8  )
( 22 ,  -15 ,  -7  )
( 23 ,  -16 ,  -7  )
( 23 ,  -17 ,  -6  )
( 23 ,  -18 ,  -5  )
( 23 ,  -19 ,  -4  )
( 24 ,  -20 ,  -4  )
( 24 ,  -21 ,  -3  )
( 24 ,  -22 ,  -2  )
( 24 ,  -23 ,  -1  )
( 24 ,  -24 ,  0  )
( 25 ,  -24 ,  -1  )
( 25 ,  -25 ,  0  )
( 25 ,  -26 ,  1  )
( 25 ,  -27 ,  2  )
( 25 ,  -28 ,  3  )
( 25 ,  -27 ,  2  )
( 25 ,  -28 ,  3  )
( 25 ,  -27 ,  2  )
( 25 ,  -28 ,  3  )
( 25 ,  -29 ,  4  )
( 24 ,  -29 ,  5  )
( 24 ,  -30 ,  6  )
( 24 ,  -31 ,  7  )
( 24 ,  -30 ,  6  )
( 24 ,  -31 ,  7  )
( 25 ,  -31 ,  6  )
( 25 ,  -32 ,  7  )
( 24 ,  -31 ,  7  )
( 23 ,  -30 ,  7  )
( 23 ,  -31 ,  8  )
( 23 ,  -32 ,  9  )
( 23 ,  -33 ,  10  )
( 22 ,  -33 ,  11  )
( 21 ,  -33 ,  12  )
( 22 ,  -34 ,  12  )
( 21 ,  -34 ,  13  )
( 21 ,  -35 ,  14  )
( 20 ,  -35 ,  15  )
( 19 ,  -35 ,  16  )
( 19 ,  -36 ,  17  )
( 20 ,  -37 ,  17  )
( 19 ,  -37 ,  18  )
( 19 ,  -38 ,  19  )
( 18 ,  -38 ,  20  )
( 17 ,  -38 ,  21  )
( 17 ,  -39 ,  22  )
( 17 ,  -40 ,  23  )
( 17 ,  -41 ,  24  )
( 16 ,  -41 ,  25  )
( 16 ,  -42 ,  26  )
( 16 ,  -43 ,  27  )
( 15 ,  -43 ,  28  )
( 14 ,  -43 ,  29  )
( 13 ,  -43 ,  30  )
( 13 ,  -44 ,  31  )
( 12 ,  -44 ,  32  )
( 11 ,  -44 ,  33  )
( 10 ,  -44 ,  34  )
( 9 ,  -44 ,  35  )
( 8 ,  -44 ,  36  )
( 7 ,  -44 ,  37  )
( 6 ,  -44 ,  38  )
( 5 ,  -44 ,  39  )
( 4 ,  -44 ,  40  )
( 3 ,  -44 ,  41  )
( 2 ,  -44 ,  42  )
( 1 ,  -44 ,  43  )
( 1 ,  -45 ,  44  )
( 0 ,  -45 ,  45  )
( -1 ,  -45 ,  46  )
( -2 ,  -45 ,  47  )
( -1 ,  -45 ,  46  )
( -2 ,  -45 ,  47  )
